Sample,Region,Location,Rb,Rb/Sr,Sr,87Sr/86Sr,SrError,Sm,Sm/Nd,Nd,143Nd/144Nd,NdError
Fo07,Faeroes,Torshavn,1.19,0.004,282,0.70324,0.00003,2.66,0.339,7.84,0.5128,0.00002
Fo19,Faeroes,Torshavn,9.02,0.07,123,0.70357,0.00005,5.54,0.263,21.1,0.51287,0.00003
Fo23,Faeroes,Torshavn,2.53,0.009,270,0.70325,0.00004,6.2,0.271,22.9,0.51293,0.00002
Fo34,Faeroes,Suduroy,11.1,0.041,274,0.70348,0.00005,7.04,0.255,27.6,0.51292,0.00002
Fo41,Faeroes,Suduroy,1.87,0.005,388,0.7034,0.00004,3.99,0.279,14.3,0.51286,0.00003
Fo52,Faeroes,Vestmanna,5.89,0.031,188,0.70337,0.00004,4.21,0.277,15.2,0.51298,0.00003
MM20333,East Greenland,Mikis Fjord,10.7,0.031,349,0.70392,0.00004,5,0.285,17.5,0.51288,0.00003
CKB7147,East Greenland,Nansens Fjord,11,0.04,277,0.70361,0.00005,6.7,0.255,26.3,0.51277,0.00003
CKB7148,East Greenland,Nansens Fjord,2.53,0.006,362,0.70367,0.00005,6.52,0.261,25,0.5128,0.00002
EG7207,East Greenland,Wiedemans Fjord,4.28,0.017,255,0.70363,0.00005,5.28,0.268,19.7,0.51286,0.00003
EG7203,East Greenland,Wiedemans Fjord,13.1,0.058,244,0.70336,0.00004,5.59,0.261,21.4,0.51283,0.00002
EG7126,East Greenland,Scoresbysund,4.35,0.02,214,0.7033,0.00008,5.24,0.296,17.7,0.51288,0.00002
B18,Baffin and Svartenhuk,Cape Dyer,0.87,0.007,128,0.7033,0.00004,2.24,0.299,7.5,0.5129,0.00003
B22,Baffin and Svartenhuk,Cape Dyer,1.96,0.006,314,0.70365,0.00004,2.01,0.294,6.83,0.51287,0.00003
B36,Baffin and Svartenhuk,Cape Dyer,1.78,0.013,131,0.70412,0.00004,2.73,0.32,8.53,0.51277,0.00003
S8,Baffin and Svartenhuk,Svartenhuk,2.56,0.021,121,0.70326,0.00004,2.74,0.302,9.07,0.51299,0.00003
S16,Baffin and Svartenhuk,Svartenhuk,14,0.099,141,0.70302,0.00004,2.34,0.326,7.16,0.51301,0.00003
S32,Baffin and Svartenhuk,Svartenhuk,2.13,0.01,221,0.70374,0.00004,5.37,0.342,15.7,0.51289,0.00003
S41 (trachyte),Baffin and Svartenhuk,Svartenhuk,62,0.57,108,0.70365,0.00004,10.3,0.2,51.4,0.51287,0.00002
