Sample,Region,Location,Rock Type,Rb,Sr,87Sr/86Sr,SrError,Sm,Nd,143Nd/144Nd,NdError
P1,Northwest Scotland,Skye,Basalt,7.73,353,0.70351,5,4.69,19.2,0.51251,2
P2,Northwest Scotland,Skye,Basalt,8.2,356,0.70361,4,4.42,22.3,0.51248,3
P3,Northwest Scotland,Skye,Basalt,4.11,436,0.70353,5,4.84,19.9,0.51251,2
P4,Northwest Scotland,Skye,Basalt,6.65,374,0.70393,5,4.46,18.2,0.51244,3
P5,Northwest Scotland,Skye,Basalt,5.23,404,0.70369,4,3.92,17.5,0.51205,2
P6,Northwest Scotland,Skye,Basalt,6.29,482,0.70378,6,5.71,26.5,0.51262,2
ML1,Northwest Scotland,Mull,Basalt,4.38,763,0.70314,4,7.5,29.2,0.51293,2
ML3,Northwest Scotland,Mull,Basalt,8.78,1096,0.70277,4,11,51.4,0.51307,2
ML4,Northwest Scotland,Mull,Basalt,9.2,296,0.70339,4,3.98,14.7,0.51282,2
ML5,Northwest Scotland,Mull,Basalt,3.42,378,0.70315,5,4.63,15.8,0.51287,2
ML6,Northwest Scotland,Mull,Basalt,6.22,562,0.70302,4,4.9,22.1,0.51184,2
M9,Northwest Scotland,Muck,Basalt,51.8,323,0.70549,4,12.1,62.9,0.51157,2
M11,Northwest Scotland,Muck,Basalt,5.45,428,0.70441,4,7.68,27.5,0.51237,3
M17,Northwest Scotland,Muck,Basalt,3.46,475,0.7032,6,4.55,22.3,0.51248,3
E3,Northwest Scotland,Eigg,Basalt,55.6,719,0.70618,4,14.3,84.5,0.51162,2
E7,Northwest Scotland,Eigg,Basalt,4.69,262,0.70483,5,4.46,15.9,0.51267,2
E10,Northwest Scotland,Eigg,Basalt,8.24,318,0.70493,4,3.72,15.2,0.51232,2
E26,Northwest Scotland,Eigg,Felsite,95.6,34.5,0.71261,6,8.41,45.3,0.51146,2
